ticket_id,customer,timestamp,service,http_status,message
T-1001,Acme Corp,2026-06-24T08:12:00Z,billing-api,500,Erreur 500 lors de la generation de facture
T-1002,Globex,2026-06-24T09:03:00Z,auth-service,401,Token expire l'utilisateur ne peut plus se connecter
T-1003,Initech,2026-06-24T09:45:00Z,billing-api,429,Trop de requetes rate limit atteint pendant un import en masse
T-1004,Umbrella,2026-06-24T10:15:00Z,search-api,200,Latence elevee signalee par le client mais reponse OK
T-1005,Acme Corp,2026-06-24T11:02:00Z,billing-api,503,Service indisponible plusieurs clients impactes
T-1006,Hooli,2026-06-24T12:30:00Z,notifications-api,403,Acces refuse cle API probablement mal configuree cote client
T-1007,Globex,2026-06-24T13:10:00Z,auth-service,500,Erreur serveur lors du refresh de token
T-1008,Initech,2026-06-24T14:00:00Z,search-api,429,Rate limit pendant un pic de trafic previsible
T-1009,Massive Dynamic,2026-06-24T15:20:00Z,billing-api,401,Identifiants invalides apres rotation de cle
T-1010,Umbrella,2026-06-24T16:45:00Z,notifications-api,500,Webhook non delivre erreur 500 cote notre API
